"Year","Game_Type","Week","Date_Time","Favorite","Fav_id","Fav_abv","Underdog","Dog_id","Dog_abv","Line","Total","Fav_Home","Dog_Home","DATE","TIME","DATETIME","Game_id"
2007,"reg","3","9/23 1:00 ET","NY Jets",24,"NYJ","Miami",19,"MIA",-3,36.5,"Y","N",2007-09-23,"1:00 PM",2007-09-23 13:00:00,"20070923_19_24"
2007,"reg","3","9/23 1:00 ET","Kansas City",16,"KC","Minnesota",20,"MIN",-3,33.5,"Y","N",2007-09-23,"1:00 PM",2007-09-23 13:00:00,"20070923_16_20"
2007,"reg","2","9/17 8:30 ET","Philadelphia",26,"PHI","Washington",32,"WAS",-7,39,"Y","N",2007-09-17,"8:30 PM",2007-09-17 20:30:00,"20070917_26_32"
2007,"reg","2","9/16 8:15 ET","New England",21,"NE","San Diego",17,"LAC",-3.5,46.5,"Y","N",2007-09-16,"8:15 PM",2007-09-16 20:15:00,"20070916_17_21"
2007,"reg","2","9/16 4:15 ET","Baltimore",3,"BAL","NY Jets",24,"NYJ",-9.5,33,"Y","N",2007-09-16,"4:15 PM",2007-09-16 16:15:00,"20070916_3_24"
2007,"reg","2","9/16 4:15 ET","Chicago",6,"CHI","Kansas City",16,"KC",-12,34.5,"Y","N",2007-09-16,"4:15 PM",2007-09-16 16:15:00,"20070916_6_16"
2007,"reg","2","9/16 4:15 ET","Denver",10,"DEN","Oakland",25,"OAK",-9.5,37,"Y","N",2007-09-16,"4:15 PM",2007-09-16 16:15:00,"20070916_10_25"
2007,"reg","2","9/16 4:05 ET","Seattle",29,"SEA","Arizona",1,"ARI",-3,42.5,"N","Y",2007-09-16,"4:05 PM",2007-09-16 16:05:00,"20070916_1_29"
2007,"reg","2","9/16 4:05 ET","Dallas",9,"DAL","Miami",19,"MIA",-3.5,40,"N","Y",2007-09-16,"4:05 PM",2007-09-16 16:05:00,"20070916_9_19"
2007,"reg","2","9/16 4:05 ET","Detroit",11,"DET","Minnesota",20,"MIN",-3,43,"Y","N",2007-09-16,"4:05 PM",2007-09-16 16:05:00,"20070916_11_20"
2007,"reg","2","9/16 1:00 ET","NY Giants",23,"NYG","Green Bay",12,"GB",-3,39.5,"Y","N",2007-09-16,"1:00 PM",2007-09-16 13:00:00,"20070916_12_23"
2007,"reg","2","9/16 1:00 ET","New Orleans",22,"NO","Tampa Bay",30,"TB",-5,42,"N","Y",2007-09-16,"1:00 PM",2007-09-16 13:00:00,"20070916_22_30"
2007,"reg","2","9/16 1:00 ET","St. Louis",18,"LAR","San Francisco",28,"SF",-3,44.5,"Y","N",2007-09-16,"1:00 PM",2007-09-16 13:00:00,"20070916_18_28"
